127.0.0.1 - - [05/Nov/2018:20:04:39 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:04:41 +0900] "GET /HelloServlet/ HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:04:51 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:05:06 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:05:09 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:05:11 +0900] "GET /HelloServlet/HelloServlet HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:05:14 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:08:15 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:08:23 +0900] "POST /HelloServlet/WelcomeServlet HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:08:30 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:08:40 +0900] "POST /HelloServlet/InquiryServlet HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:08:46 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:08:49 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:13:06 +0900] "GET /HelloServlet/HelloServlet HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:13:08 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:13:14 +0900] "POST /HelloServlet/WelcomeServlet HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:13:19 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:13:22 +0900] "POST /HelloServlet/InquiryServlet HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:13:26 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:13:32 +0900] "GET /HelloServlet/TestServlet?username=aaa&password=aaa HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:13:40 +0900] "POST /HelloServlet/TestServlet HTTP/1.1" 200 55
